2017 다모아 빅데이터 기관정보 (대전),,,,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고,,
1,대전광역시 중구,민간,시민사회단체,(사)대한노인회 대전광역시연합회,대전광역시 중구 테미로 26,042-252-7115,http://www.youngold.or.kr/,,,폼이 일정하지않음,
2,대전광역시 서구,민간,학교,(사)모두사랑장애인야간학교,대전광역시 서구 갈마중로 21 1층,042-521-9933~4,http://www.modoosarang.or.kr/,,,강의가 없음,
3,대전광역시 서구,민간,시민사회단체,(사)소비자교육중앙회 대전광역시지부(대전주부교실),대전광역시 서구 도솔로412번길 32,042-535-4480~2,http://www.tjjubu.or.kr/,,허용 접속량 초과,,
4,대전광역시 중구,민간,교육산업,(사)중부권생태공동체 아이살림평생교육원,대전광역시 중구 계룡로 928 오성빌딩 505호,042-221-0604,"http://www.ecokidjb.or.kr/
http://blog.naver.com/ecokiddj",,블로그 주소와 같이있음,,
5,대전광역시 서구,민간,문화센터,(사)한국문화센터(둔산지부),대전광역시 서구 둔산남로165번길 13,042-472-5915,http://indeco.kr/,,,,
6,대전광역시 중구,민간,교육산업,(사)한국장애인정보화협회대전광역시평생교육원,대전광역시 중구 대흥로 9?대일빌딩 4층.5층,042-672-3131,미운영,,180112 폐쇄,,
7,대전광역시 동구,민간,교육산업,(사)한국지체장애인협회 동구지회,대전광역시 동구 옥천로 187 유락프라자 503호,042-286-5090,미운영,,180112 폐쇄,,
8,대전광역시 중구,민간,교육산업,(사)한국창업경영컨설팅협회평생교육원,대전광역시 중구 보문로 337,"042-256-1070
042-257-1070",http://www.kmcca.net/,,,,
9,대전광역시 대덕구,민간,직업훈련시설,마정천도기획 장례지도사교육원,대전광역시 대덕구 장동로 69,042-638-4444,http://www.xn--hq1b27i21nqme.kr/,,180119 폐쇄,,
10,대전광역시 서구,민간,직업훈련시설,(주)조근혜 부설 대전직업상담사 학원,대전광역시 서구 계룡로553번안길 71 지빌딩 3층,042-524-4114,http://1919.or.kr/main/index.html,,,,
