번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,강원도 ,공공,국가 및 지자체,강원도청,강원도 춘천시 중앙로 1,033-254-2011,http://www.provin.gangwon.kr/,,
2,강원도 ,공공,국가 및 지자체,춘천시청,강원도 춘천시 삭주로 3,033-253-3700,http://www.chuncheon.go.kr/,0,
3,강원도 ,공공,주민자치기관,신북읍 주민센터,강원도 춘천시 신북읍 율문길 75,033-250-3601,http://www.chuncheon.go.kr/sinbuk/index.chuncheon?cpath=,0,
4,강원도 ,공공,주민자치기관,동면 주민센터,강원도 춘천시 동면 가산로 69,033-250-3602,http://www.chuncheon.go.kr/dongmyeon/index.chuncheon?cpath=,0,
5,강원도 ,공공,주민자치기관,동산면 주민센터,강원도 춘천시 동산면 조양길 270,033-250-3603,http://www.chuncheon.go.kr/dongsan/index.chuncheon?cpath=,자료없음,
6,강원도 ,공공,주민자치기관,신동면 주민센터,강원도 춘천시 신동면 김유정로 1418,033-250-3604,http://www.chuncheon.go.kr/sindong/index.chuncheon?cpath=,자료없음,
7,강원도 ,공공,주민자치기관,동내면 주민센터,강원도 춘천시 동내면 동내로 78,033-250-3605,http://www.chuncheon.go.kr/dongnae/index.chuncheon?cpath=,통일성없음,
8,강원도 ,공공,주민자치기관,남면 주민센터,강원도 춘천시 남면 충효로 1130-10,033-250-3606,http://www.chuncheon.go.kr/nammyeon/index.chuncheon?cpath=,자료없음,
9,강원도 ,공공,주민자치기관,남산면 주민센터,강원도 춘천시 남산면 한치로 73,033-250-3607,http://www.chuncheon.go.kr/namsan/index.chuncheon?cpath=,자료없음,
10,강원도 ,공공,주민자치기관,서면 주민센터,강원도 춘천시 서면 금산길 27,033-250-3608,http://www.chuncheon.go.kr/seomyeon/index.chuncheon?cpath=,자료없음,
11,강원도 ,공공,주민자치기관,사북면 주민센터,강원도 춘천시 사북면 영서로 4721,033-250-3609,http://www.chuncheon.go.kr/sabuk/index.chuncheon?cpath=,자료없음,
12,강원도 ,공공,주민자치기관,북산면 주민센터,강원도 춘천시 북산면 북산로 493,033-250-3610,http://www.chuncheon.go.kr/buksan/index.chuncheon?cpath=,자료없음,
13,강원도 ,공공,주민자치기관,소양동 주민센터,강원도 춘천시 금강로 15,033-250-3611,http://www.chuncheon.go.kr/soyang/index.chuncheon?cpath=,0,
14,강원도 ,공공,주민자치기관,교동 주민센터,강원도 춘천시 교동길 19,033-250-3612,http://www.chuncheon.go.kr/gyodong/index.chuncheon?cpath=,0,
15,강원도 ,공공,주민자치기관,조운동 주민센터,강원도 춘천시 아침길 11,033-250-3613,http://www.chuncheon.go.kr/joun/index.chuncheon?cpath=,0,
16,강원도 ,공공,주민자치기관,약사명동 주민센터,강원도 춘천시 망대길 9,033-250-3614,http://www.chuncheon.go.kr/yaksamyeong/index.chuncheon?cpath=,통일성없음,
17,강원도 ,공공,주민자치기관,근화동 주민센터,강원도 춘천시 영서로 2487,033-250-3615,http://www.chuncheon.go.kr/geunhwa/index.chuncheon?cpath=,0,
18,강원도 ,공공,주민자치기관,후평1동 주민센터,강원도 춘천시 후석로 403,033-250-3616,http://www.chuncheon.go.kr/hupyeong1/index.chuncheon?cpath=,"장소,수강료문제",
19,강원도 ,공공,주민자치기관,후평2동 주민센터,강원도 춘천시 부안길6번길 45,033-250-3617,http://www.chuncheon.go.kr/hupyeong2/index.chuncheon?cpath=,0,
20,강원도 ,공공,주민자치기관,후평3동 주민센터,강원도 춘천시 후석로326번길 5,033-250-3618,http://www.chuncheon.go.kr/hupyeong3/index.chuncheon?cpath=,자료없음,
21,강원도 ,공공,주민자치기관,효자1동 주민센터,강원도 춘천시 효자상길 9,033-250-3619,http://www.chuncheon.go.kr/hyoja1/index.chuncheon?cpath=,통일성없음,
22,강원도 ,공공,주민자치기관,효자2동 주민센터,강원도 춘천시 돌담길10번길 8,033-250-3620,http://www.chuncheon.go.kr/hyoja2/index.chuncheon?cpath=,통일성없음,
23,강원도 ,공공,주민자치기관,효자3동 주민센터,강원도 춘천시 두하길 21,033-250-3621,http://www.chuncheon.go.kr/hyoja3/index.chuncheon?cpath=,밑에 시간표까지 선택됨,
24,강원도 ,공공,주민자치기관,석사동 주민센터,강원도 춘천시 후석로 48,033-250-3622,http://www.chuncheon.go.kr/seoksa/index.chuncheon?cpath=,0,
25,강원도 ,공공,주민자치기관,퇴계동 주민센터,강원도 춘천시 퇴계로 46,033-250-3623,http://www.chuncheon.go.kr/toegye/index.chuncheon?cpath=,통일성없음,
26,강원도 ,공공,주민자치기관,강남동 주민센터,강원도 춘천시 방송길 86,033-250-3624,http://www.chuncheon.go.kr/gangnam/index.chuncheon?cpath=,0,
27,강원도 ,공공,주민자치기관,신사우동 주민센터,강원도 춘천시 사우4길 28,033-250-3625,http://www.chuncheon.go.kr/sinsau/index.chuncheon?cpath=,통일성없음,
28,강원도 ,공공,국가 및 지자체,원주시청,강원도 원주시 시청로 1,033-742-2111,http://www.wonju.go.kr/,0,
29,강원도 ,공공,주민자치기관,문막읍 주민센터,강원도 원주시 문막읍 건등로 11,033-737-5501,http://www.wonju.go.kr/munmak/index.do,교육강좌예약 0,
30,강원도 ,공공,주민자치기관,소초면 주민센터,강원도 원주시 소초면 치악로 2790,033-737-5502,http://www.wonju.go.kr/socho/index.do,,
31,강원도 ,공공,주민자치기관,호저면 주민센터,강원도 원주시 호저면 호저로 429,033-737-5503,http://www.wonju.go.kr/hojeo/index.do,,
32,강원도 ,공공,주민자치기관,지정면 주민센터,강원도 원주시 지정면 간현로 126,033-737-5504,http://www.wonju.go.kr/jijeong/index.do,,
33,강원도 ,공공,주민자치기관,부론면 주민센터,강원도 원주시 부론면 법천시장길 59,033-737-5505,http://www.wonju.go.kr/buron/index.do,,
34,강원도 ,공공,주민자치기관,귀래면 주민센터,강원도 원주시 귀래면 북원로 106,033-737-5506,http://www.wonju.go.kr/gwirae/index.do,,
35,강원도 ,공공,주민자치기관,흥업면 주민센터,강원도 원주시 흥업면 울업1길 3,033-737-5507,http://www.wonju.go.kr/heungeop/index.do,,
36,강원도 ,공공,주민자치기관,판부면 주민센터,강원도 원주시 치악로 1503,033-737-5508,http://www.wonju.go.kr/panbu/index.do,,
37,강원도 ,공공,주민자치기관,신림면 주민센터,강원도 원주시 신림면 치악로 28,033-737-5509,http://www.wonju.go.kr/sillim/index.do,,
38,강원도 ,공공,주민자치기관,중앙동 주민센터,강원도 원주시 충정길 12,033-737-5510,http://www.wonju.go.kr/jungang/index.do,,
39,강원도 ,공공,주민자치기관,원인동 주민센터,강원도 원주시 무실로 63,033-737-5511,http://www.wonju.go.kr/wonin/index.do,,
40,강원도 ,공공,주민자치기관,개운동 주민센터,강원도 원주시 행구로 40,033-737-5512,http://www.wonju.go.kr/gaeun/index.do,,
41,강원도 ,공공,주민자치기관,명륜1동 주민센터,강원도 원주시 남원로 653,033-737-5513,http://www.wonju.go.kr/myeong1/index.do,,
42,강원도 ,공공,주민자치기관,명륜2동 주민센터,강원도 원주시 황소마을길 30,033-737-5514,http://www.wonju.go.kr/myeong2/index.do,,
43,강원도 ,공공,주민자치기관,단구동 주민센터,강원도 원주시 치악로 1605,033-737-5515,http://www.wonju.go.kr/dangu/index.do,,
44,강원도 ,공공,주민자치기관,일산동 주민센터,강원도 원주시 천사로 159,033-737-5516,http://www.wonju.go.kr/ilsan/index.do,,
45,강원도 ,공공,주민자치기관,학성동 주민센터,강원도 원주시 학성길 116,033-737-5517,http://www.wonju.go.kr/hakseong/index.do,,
46,강원도 ,공공,주민자치기관,단계동 주민센터,강원도 원주시 북원로 2321,033-737-5518,http://www.wonju.go.kr/dangye/index.do,,
47,강원도 ,공공,주민자치기관,우산동 주민센터,강원도 원주시 진광길 9,033-737-5519,http://www.wonju.go.kr/usan/index.do,,
48,강원도 ,공공,주민자치기관,태장1동 주민센터,강원도 원주시 천사로 291,033-737-5520,http://www.wonju.go.kr/tae1/index.do,,
49,강원도 ,공공,주민자치기관,태장2동 주민센터,강원도 원주시 흥양로 42,033-737-5521,http://www.wonju.go.kr/tae2/index.do,,
50,강원도 ,공공,주민자치기관,봉산동 주민센터,강원도 원주시 치악로 1868,033-737-5522,http://www.wonju.go.kr/bongsan/index.do,,
