번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,경상남도 ,공공,국가 및 지자체,경상남도청,경상남도 창원시 의창구 중앙대로 300,055-211-2114,http://www.gyeongnam.go.kr/,,
2,경상남도 ,공공,국가 및 지자체,창원시청,경상남도 창원시 의창구 중앙대로 151,1899-1111,http://www.changwon.go.kr,0,
3,경상남도 ,공공,국가 및 지자체,의창구청,경상남도 창원시 의창구 태복산로15번길 8,055-212-2114,http://uichang.changwon.go.kr/,0,
4,경상남도 ,공공,주민자치기관,동읍 주민센터,경상남도 창원시 의창구 동읍 동읍로 88,055-212-5100,http://www.changwon.go.kr/town/dongeup/main/main.jsp,0,
5,경상남도 ,공공,주민자치기관,북면 주민센터,경상남도 창원시 의창구 북면 천주로 1085,055-212-5200,http://www.changwon.go.kr/town/bookmyeon/main/main.jsp,0,
6,경상남도 ,공공,주민자치기관,대산면 주민센터,경상남도 창원시 의창구 대산면 주남로 577,055-212-5300,http://www.changwon.go.kr/town/daesan/main/main.jsp,0,
7,경상남도 ,공공,주민자치기관,의창동 주민센터,경상남도 창원시 의창구 서상로12번길 83-9,055-212-5400,http://www.changwon.go.kr/town/euichang/main/main.jsp,0,
8,경상남도 ,공공,주민자치기관,팔룡동 주민센터,경상남도 창원시 의창구 팔용로 435,055-212-5500,http://www.changwon.go.kr/town/palyong/main/main.jsp,0,
9,경상남도 ,공공,주민자치기관,명곡동 주민센터,경상남도 창원시 의창구 태복산로15번길 8,055-212-5600,http://www.changwon.go.kr/town/myungok/main/main.jsp,0,
10,경상남도 ,공공,주민자치기관,봉림동 주민센터,경상남도 창원시 의창구 대봉로26번길 5,055-212-5700,http://www.changwon.go.kr/town/bongrim/main/main.jsp,0,
11,경상남도 ,공공,주민자치기관,용지동 주민센터,경상남도 창원시 의창구 용지로239번길 19-4,055-212-5800,http://www.changwon.go.kr/town/yongji/main/main.jsp,0,
12,경상남도 ,공공,국가 및 지자체,성산구청,경상남도 창원시 성산구 창원대로 1086,055-272-2114,http://seongsan.changwon.go.kr/,0,
13,경상남도 ,공공,주민자치기관,반송동 주민센터,경상남도 창원시 성산구 원이대로473번길 19-14,055-272-5100,http://www.changwon.go.kr/town/bansong/main/main.jsp,0,
14,경상남도 ,공공,주민자치기관,중앙동 주민센터,경상남도 창원시 성산구 외동반림로 5,055-272-5200,http://www.changwon.go.kr/town/jungang/main/main.jsp,0,
15,경상남도 ,공공,주민자치기관,상남동 주민센터,경상남도 창원시 성산구 동산로 73,055-272-5300,http://www.changwon.go.kr/town/sangnam/main/main.jsp,0,
16,경상남도 ,공공,주민자치기관,사파동 주민센터,경남 창원시 성산구 대암로 109,055-272-5400,http://www.changwon.go.kr/town/sapa/main/main.jsp,0,
