번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,경상북도 ,공공,국가 및 지자체,경상북도청,경상북도 안동시 풍천면 도청대로 455,054-880-2114,http://www.gb.go.kr/,사이버교육,
2,경상북도 ,공공,국가 및 지자체,포항시청,경상북도 포항시 남구 시청로 1,054-270-8282,http://www.pohang.go.kr/,0,
3,경상북도 ,공공,국가 및 지자체,북구청,경상북도 포항시 북구 중앙로 325,054-270-8282,http://www.pohang.go.kr/bukgu,자료없음,
4,경상북도 ,공공,주민자치기관,흥해읍 주민센터,경상북도 포항시 북구 흥해읍 동해대로 1511,054-240-7560,http://www.pohang.go.kr/bukgu/heunghae,첨부파일,
5,경상북도 ,공공,주민자치기관,신광면 주민센터,경상북도 포항시 북구 신광면 토성길37번길 13,054-240-7590,http://www.pohang.go.kr/bukgu/singwang,첨부파일,
6,경상북도 ,공공,주민자치기관,청하면 주민센터,경상북도 포항시 북구 청하면 청하로217번길 22 ,054-240-7610,http://www.pohang.go.kr/bukgu/cheongha,첨부파일,
7,경상북도 ,공공,주민자치기관,송라면 주민센터,경상북도 포항시 북구 송라면 보경로 56,054-240-7641,http://www.pohang.go.kr/bukgu/songna,첨부파일,
8,경상북도 ,공공,주민자치기관,기계면 주민센터,경상북도 포항시 북구 기계면 근면길 14,054-240-7651,http://www.pohang.go.kr/bukgu/gigye,첨부파일,
9,경상북도 ,공공,주민자치기관,죽장면 주민센터,경상북도 포항시 북구 죽장면 새마을로 3610,054-240-7670,http://www.pohang.go.kr/bukgu/jukjang,첨부파일,
10,경상북도 ,공공,주민자치기관,기북면 주민센터,경상북도 포항시 북구 기북면 기북로 443,054-240-7691,http://www.pohang.go.kr/bukgu/gibuk,첨부파일,
11,경상북도 ,공공,주민자치기관,중앙동 주민센터,경상북도 포항시  북구 학산로 54,054-246-0041,http://www.pohang.go.kr/bukgu/jungang,첨부파일,
12,경상북도 ,공공,주민자치기관,양학동 주민센터,경상북도 포항시  북구 양학로17번길 4,054-240-7750,http://www.pohang.go.kr/bukgu/yanghak,첨부파일,
13,경상북도 ,공공,주민자치기관,죽도동 주민센터,경상북도 포항시  북구 죽도로 40번길 28,054-232-3101,http://www.pohang.go.kr/bukgu/jukdo,첨부파일,
14,경상북도 ,공공,주민자치기관,용흥동 주민센터,경상북도 포항시  북구 새마을로 20,054-240-7810,http://www.pohang.go.kr/bukgu/yongheung,첨부파일,
15,경상북도 ,공공,주민자치기관,우창동 주민센터,경상북도 포항시  북구 우창동로 24,054-240-7830,http://www.pohang.go.kr/bukgu/uchang,첨부파일,
16,경상북도 ,공공,주민자치기관,두호동 주민센터,경상북도 포항시  북구 삼호로 260,054-240-7850,http://www.pohang.go.kr/bukgu/duho,첨부파일,
17,경상북도 ,공공,주민자치기관,장량동 주민센터,경상북도 포항시  북구 삼흥로 91,054-240-7870,http://www.pohang.go.kr/bukgu/jangyang,첨부파일,
18,경상북도 ,공공,주민자치기관,환여동 주민센터,경상북도 포항시  북구 삼호로 457,054-252-0151,http://www.pohang.go.kr/bukgu/hwanyeo,첨부파일,
