번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,대구광역시 ,공공,국가 및 지자체,대구시청,대구광역시 중구 공평로 88,053-120,http://www.daegu.go.kr/,안열려,
2,대구광역시 ,공공,국가 및 지자체,중구청,대구광역시 중구 국채보상로139길 1,053-661-2000,http://www.jung.daegu.kr/,,
3,대구광역시 ,공공,주민자치기관,동인동 주민센터,대구광역시 중구 국채보상로142길 19-5,053-661-3301,http://www.jung.daegu.kr/new/dong/pages/main/,0,중구안에강좌가다있음
4,대구광역시 ,공공,주민자치기관,삼덕동 주민센터,대구광역시 중구 달구벌대로447길 72-11,053-661-3303,http://www.jung.daegu.kr/new/dong/pages/main/,0,
5,대구광역시 ,공공,주민자치기관,성내1동 주민센터,대구광역시 중구 동성로3길 87,053-661-3304,http://www.jung.daegu.kr/new/dong/pages/main/,0,
6,대구광역시 ,공공,주민자치기관,성내2동 주민센터,대구광역시 중구 달구벌대로415길 48,053-661-3305,http://www.jung.daegu.kr/new/dong/pages/main/,0,
7,대구광역시 ,공공,주민자치기관,성내3동 주민센터,대구광역시 중구 서성로13길 32-10,053-661-3306,http://www.jung.daegu.kr/new/dong/pages/main/,0,
8,대구광역시 ,공공,주민자치기관,대신동 주민센터,대구광역시 중구 큰장로26안길 66,053-661-3307,http://www.jung.daegu.kr/new/dong/pages/main/,0,
9,대구광역시 ,공공,주민자치기관,남산1동 주민센터,대구광역시 중구 2·28길 18-15,053-661-3308,http://www.jung.daegu.kr/new/dong/pages/main/,0,
10,대구광역시 ,공공,주민자치기관,남산2동 주민센터,대구광역시 중구 명륜로 27-1,053-661-3309,http://www.jung.daegu.kr/new/dong/pages/main/,0,
11,대구광역시 ,공공,주민자치기관,남산3동 주민센터,대구광역시 중구 남산로4길 70,053-661-3733,http://www.jung.daegu.kr/new/dong/pages/main/,0,
12,대구광역시 ,공공,주민자치기관,남산4동 주민센터,대구광역시 중구 남산로1길 42,053-661-3311,http://www.jung.daegu.kr/new/dong/pages/main/,0,
13,대구광역시 ,공공,주민자치기관,대봉1동 주민센터,대구광역시 중구 달구벌대로440길 27,053-661-3312,http://www.jung.daegu.kr/new/dong/pages/main/,0,
14,대구광역시 ,공공,주민자치기관,대봉2동 주민센터,대구광역시 중구 대봉로45길 29,053-661-3313,http://www.jung.daegu.kr/new/dong/pages/main/,0,
15,대구광역시 ,공공,국가 및 지자체,동구청,대구광역시 동구 아양로 207,053-662-2000,http://www.dong.daegu.kr/,평생교육 보류,
16,대구광역시 ,공공,주민자치기관,신암1동 주민센터,대구광역시 동구 아양로7길 27,053-662-3301,http://www.dong.daegu.kr/ch/sa1/,0,
17,대구광역시 ,공공,주민자치기관,신암2동 주민센터,대구광역시 동구 신성로 56,053-662-3302,http://www.dong.daegu.kr/ch/sa2/,0,
18,대구광역시 ,공공,주민자치기관,신암3동 주민센터,대구광역시 동구 신암남로 67,053-662-3303,http://www.dong.daegu.kr/ch/sa3/,0,
19,대구광역시 ,공공,주민자치기관,신암4동 주민센터,대구광역시 동구 신암남로23길 53,053-662-3304,http://www.dong.daegu.kr/ch/sa4/,0,
20,대구광역시 ,공공,주민자치기관,신암5동 주민센터,대구광역시 동구 아양로37길 92,053-662-3305,http://www.dong.daegu.kr/ch/sa5/,0,
21,대구광역시 ,공공,주민자치기관,"신천1,2동 주민센터",대구광역시 동구 국채보상로159길 41,053-662-3306,http://www.dong.daegu.kr/ch/sc12/,0,
22,대구광역시 ,공공,주민자치기관,신천3동 주민센터,대구광역시 동구 장등로 90,053-662-3724,http://www.dong.daegu.kr/ch/sc3/,0,
23,대구광역시 ,공공,주민자치기관,신천4동 주민센터,대구광역시 동구 동부로30길 61-7,053-662-3308,http://www.dong.daegu.kr/ch/sc4/,0,
24,대구광역시 ,공공,주민자치기관,효목1동 주민센터,대구광역시 동구 화랑로41길 46,053-662-3309,http://www.dong.daegu.kr/ch/hm1/,0,
25,대구광역시 ,공공,주민자치기관,효목2동 주민센터,대구광역시 동구 화랑로25길 45,053-662-3781,http://www.dong.daegu.kr/ch/hm2/,0,
26,대구광역시 ,공공,주민자치기관,도평동 주민센터,대구광역시 동구 팔공로24길 171,053-662-3311,http://www.dong.daegu.kr/ch/dp/,0,
27,대구광역시 ,공공,주민자치기관,불로봉무동 주민센터,대구광역시 동구 팔공로25길 16,053-662-3312,http://www.dong.daegu.kr/ch/bb/,0,
28,대구광역시 ,공공,주민자치기관,지저동 주민센터,대구광역시 동구 해동로3길 80,053-662-3313,http://www.dong.daegu.kr/ch/jj/,0,
29,대구광역시 ,공공,주민자치기관,동촌동 주민센터,대구광역시 동구 동촌로11길 5,053-662-3314,http://www.dong.daegu.kr/ch/dc/,0,
30,대구광역시 ,공공,주민자치기관,방촌동 주민센터,대구광역시 동구 동촌로48길 26,053-662-3315,http://www.dong.daegu.kr/ch/bc/,0,
31,대구광역시 ,공공,주민자치기관,해안동 주민센터,대구광역시 동구 방촌로29길 46,053-662-3316,http://www.dong.daegu.kr/ch/ha/,0,
32,대구광역시 ,공공,주민자치기관,안심1동 주민센터,대구광역시 동구 율하동로 121,053-662-3317,http://www.dong.daegu.kr/ch/as1/,0,
33,대구광역시 ,공공,주민자치기관,안심2동 주민센터,대구광역시 동구 반야월로1길 28,053-662-3318,http://www.dong.daegu.kr/ch/as2/,0,
34,대구광역시 ,공공,주민자치기관,"안심3,4동 주민센터",대구광역시 동구 안심로49길 98,053-662-3319,http://www.dong.daegu.kr/ch/as34/,0,
35,대구광역시 ,공공,주민자치기관,공산동 주민센터,대구광역시 동구 팔공로91길 9,053-662-3320,http://www.dong.daegu.kr/ch/gs/,0,
36,대구광역시 ,공공,국가 및 지자체,서구청,대구광역시 서구 국채보상로 257,053-663-2000,http://www.dgs.go.kr/,0,
37,대구광역시 ,공공,주민자치기관,내당1동 주민센터,대구광역시 서구 서대구로4길 35,053-663-3301,http://www.dgs.go.kr/dg/nd1/,0,
38,대구광역시 ,공공,주민자치기관,"내당2,3동 주민센터",대구광역시 서구 큰장로15길 11-1,053-663-3302,http://www.dgs.go.kr/dg/nd23/,0,
39,대구광역시 ,공공,주민자치기관,내당4동 주민센터,대구광역시 서구 서대구로3길 46,053-663-3303,http://www.dgs.go.kr/dg/nd4/,0,
40,대구광역시 ,공공,주민자치기관,비산1동 주민센터,대구광역시 서구 북비산로65길 18,053-663-3304,http://www.dgs.go.kr/dg/bs1/,0,
41,대구광역시 ,공공,주민자치기관,"비산2,3동 주민센터",대구광역시 서구 국채보상로81길 43,053-663-3305,http://www.dgs.go.kr/dg/bs23/,0,
42,대구광역시 ,공공,주민자치기관,비산4동 주민센터,대구광역시 서구 국채보상로78길 29-4,053-663-3306,http://www.dgs.go.kr/dg/bs4/,0,
43,대구광역시 ,공공,주민자치기관,비산5동 주민센터,대구광역시 서구 달서천로65길 17,053-663-3307,http://www.dgs.go.kr/dg/bs5/,0,
44,대구광역시 ,공공,주민자치기관,비산6동 주민센터,대구광역시 서구 문화로67길 3,053-663-3308,http://www.dgs.go.kr/dg/bs6/,0,
45,대구광역시 ,공공,주민자치기관,비산7동 주민센터,대구광역시 서구 염색공단로5길 4,053-663-3309,http://www.dgs.go.kr/dg/bs7/,0,
46,대구광역시 ,공공,주민자치기관,평리1동 주민센터,대구광역시 서구 문화로 280,053-663-3310,http://www.dgs.go.kr/dg/pn1/,0,
47,대구광역시 ,공공,주민자치기관,평리2동 주민센터,대구광역시 서구 국채보상로60길 6,053-663-3311,http://www.dgs.go.kr/dg/pn2/,0,
48,대구광역시 ,공공,주민자치기관,평리3동 주민센터,대구광역시 서구 문화로 261,053-663-3312,http://www.dgs.go.kr/dg/pn3/,0,
49,대구광역시 ,공공,주민자치기관,평리4동 주민센터,대구광역시 서구 국채보상로46길 37-3,053-663-3313,http://www.dgs.go.kr/dg/pn4/,0,
50,대구광역시 ,공공,주민자치기관,평리5동 주민센터,대구광역시 서구 서대구로37길 48,053-663-3314,http://www.dgs.go.kr/dg/pn5/,0,
51,대구광역시 ,공공,주민자치기관,평리6동 주민센터,대구광역시 서구 당산로86길 13,053-663-3315,http://www.dgs.go.kr/dg/pn6/,0,
52,대구광역시 ,공공,주민자치기관,상중이동 주민센터,대구광역시 서구 당산로 343,053-663-3316,http://www.dgs.go.kr/dg/sj/,0,
53,대구광역시 ,공공,주민자치기관,원대동 주민센터,대구광역시 서구 달서로55길 5,053-663-3317,http://www.dgs.go.kr/dg/wd/,0,
54,대구광역시 ,공공,국가 및 지자체,남구청,대구광역시 남구 이천로 51,053-664-2000,http://www.nam.daegu.kr/,0,
55,대구광역시 ,공공,주민자치기관,이천동 주민센터,대구광역시 남구 이천로28길 18,053-664-3711,http://nam.daegu.kr/dong/index.do?menu_id=00001855,0,
56,대구광역시 ,공공,주민자치기관,봉덕1동 주민센터,대구광역시 남구 이천로 51,053-664-3731,http://nam.daegu.kr/dong/index.do?menu_id=00001856,0,
57,대구광역시 ,공공,주민자치기관,봉덕2동 주민센터,대구광역시 남구 이천로10길 50,053-664-3751,http://nam.daegu.kr/dong/index.do?menu_id=00001857,0,
58,대구광역시 ,공공,주민자치기관,봉덕3동 주민센터,대구광역시 남구 중앙대로22길 100,053-664-3771,http://nam.daegu.kr/dong/index.do?menu_id=00001858,0,
59,대구광역시 ,공공,주민자치기관,대명1동 주민센터,대구광역시 남구 두류공원로 38,053-664-3791,http://nam.daegu.kr/dong/index.do?menu_id=00001859,0,
60,대구광역시 ,공공,주민자치기관,대명2동 주민센터,대구광역시 남구 명덕로32길 30,053-664-3811,http://nam.daegu.kr/dong/index.do?menu_id=00001860,0,
61,대구광역시 ,공공,주민자치기관,대명3동 주민센터,대구광역시 남구 명덕로20길 115,053-664-3831,http://nam.daegu.kr/dong/index.do?menu_id=00001861,0,
62,대구광역시 ,공공,주민자치기관,대명4동 주민센터,대구광역시 남구 두류공원로20길 19,053-664-3851,http://nam.daegu.kr/dong/index.do?menu_id=00001862,0,
63,대구광역시 ,공공,주민자치기관,대명5동 주민센터,대구광역시 남구 대명로58길 11,053-664-3871,http://nam.daegu.kr/dong/index.do?menu_id=00001863,0,
64,대구광역시 ,공공,주민자치기관,대명6동 주민센터,대구광역시 남구 대명남로 73,053-664-3891,http://nam.daegu.kr/dong/index.do?menu_id=00001864,0,
