2017 다모아 빅데이터 기관정보 (부산),,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,부산광역시 ,공공,국가 및 지자체,부산시청,부산광역시 연제구 중앙대로 1001,051-120,http://www.busan.go.kr/,,부산끝.
2,부산광역시 ,공공,국가 및 지자체,중구청,부산광역시 중구 중구로 120,051-600-4000,http://www.bsjunggu.go.kr/,,
3,부산광역시 ,공공,주민자치기관,중앙동 주민센터,부산광역시 중구 중앙대로41번길 10,051-600-4901,http://jumin.busan.go.kr/dong/jungang/,,
4,부산광역시 ,공공,주민자치기관,동광동 주민센터,부산광역시 중구 동광길 49,051-600-4902,http://jumin.busan.go.kr/dong/donggwang/,,
5,부산광역시 ,공공,주민자치기관,대청동 주민센터,부산광역시 중구 대청로99번길 14-1,051-600-4903,http://jumin.busan.go.kr/dong/daecheong/,,
6,부산광역시 ,공공,주민자치기관,보수동 주민센터,부산광역시 중구 보수대로140번길 61,051-600-4904,http://jumin.busan.go.kr/dong/bosu/,,
7,부산광역시 ,공공,주민자치기관,부평동 주민센터,부산광역시 중구 중구로29번길 23,051-600-4906,http://jumin.busan.go.kr/dong/bupyeong/,,
8,부산광역시 ,공공,주민자치기관,광복동 주민센터,부산광역시 중구 광복로55번길 10,051-600-4907,http://jumin.busan.go.kr/dong/gwangbok/main/main.jsp,,
9,부산광역시 ,공공,주민자치기관,남포동 주민센터,부산광역시 중구 자갈치로 68-1,051-600-4908,http://jumin.busan.go.kr/dong/nampo/,,
10,부산광역시 ,공공,주민자치기관,영주제1동 주민센터,부산광역시 중구 대영로224번길 10,051-600-4909,http://jumin.busan.go.kr/dong/yeongju1/,,
11,부산광역시 ,공공,주민자치기관,영주제2동 주민센터,부산광역시 중구 동영로 71-2,051-600-4910,http://jumin.busan.go.kr/dong/yeongju2/,,
12,부산광역시 ,공공,국가 및 지자체,서구청,부산광역시 서구 구덕로 120,051-240-4000,http://www.bsseogu.go.kr/,,
13,부산광역시 ,공공,주민자치기관,동대신제1동 주민센터,부산광역시 서구 구덕로280번길 32,051-240-6401,http://jumin.busan.go.kr/dong/dongdaesin1/main/main.jsp,,
14,부산광역시 ,공공,주민자치기관,동대신제2동 주민센터,부산광역시 서구 보동길275번길 9,051-240-6421,http://jumin.busan.go.kr/dong/dongdaesin2/main/main.jsp,,
15,부산광역시 ,공공,주민자치기관,동대신제3동 주민센터,부산광역시 서구 대영로73번길 92,051-240-6441,http://jumin.busan.go.kr/dong/dongdaesin3/main/main.jsp,,
16,부산광역시 ,공공,주민자치기관,서대신제1동 주민센터,부산광역시 서구 구덕로315번길 49,051-240-6461,https://jumin.busan.go.kr/dong/seodaesin1/main/main.jsp,,
17,부산광역시 ,공공,주민자치기관,서대신제3동 주민센터,부산광역시 서구 서대신동3가 609-53,051-240-6481,https://jumin.busan.go.kr/dong/seodaesin3/main/main.jsp,,
18,부산광역시 ,공공,주민자치기관,서대신제4동 주민센터,부산광역시 서구 꽃마을로 49,051-240-6501,https://jumin.busan.go.kr/dong/seodaesin4/main/main.jsp,,
19,부산광역시 ,공공,주민자치기관,부민동 주민센터,부산광역시 서구 임시수도기념로 22-11,051-240-6521,https://jumin.busan.go.kr/dong/bumin/main/main.jsp,,
20,부산광역시 ,공공,주민자치기관,아미동 주민센터,부산광역시 서구 해돋이로269번길 17,051-240-6541,https://jumin.busan.go.kr/dong/ami/main/main.jsp,,
21,부산광역시 ,공공,주민자치기관,초장동 주민센터,부산광역시 서구 초장로27번길 32,051-240-6561,https://jumin.busan.go.kr/dong/chojang/main/main.jsp,,
22,부산광역시 ,공공,주민자치기관,충무동 주민센터,부산광역시 서구 구덕로148번길 16,051-240-6581,https://jumin.busan.go.kr/dong/chungmu/main/main.jsp,,
23,부산광역시 ,공공,주민자치기관,남부민제1동 주민센터,부산광역시 서구 충무대로255번길 5-26,051-240-6601,https://jumin.busan.go.kr/dong/nambumin1/main/main.jsp,,
24,부산광역시 ,공공,주민자치기관,남부민제2동 주민센터,부산광역시 서구 천마로 87,051-240-6621,https://jumin.busan.go.kr/dong/nambumin2/main/main.jsp,,
25,부산광역시 ,공공,주민자치기관,암남동 주민센터,부산광역시 서구 충무대로 85,051-240-6661,https://jumin.busan.go.kr/dong/amnam/main/main.jsp,,
26,부산광역시 ,공공,국가 및 지자체,동구청,부산광역시 동구 구청로 1,051-440-4000,http://www.bsdonggu.go.kr/,,
27,부산광역시 ,공공,주민자치기관,초량제1동 주민센터,부산광역시 동구 중앙대로179번길 33,051-440-4901,https://jumin.busan.go.kr/dong/choryang1/main/main.jsp,,
28,부산광역시 ,공공,주민자치기관,초량제2동 주민센터,부산광역시 동구 중앙대로209번길 30,051-440-4902,https://jumin.busan.go.kr/dong/choryang2/main/main.jsp,,
29,부산광역시 ,공공,주민자치기관,초량제3동 주민센터,부산광역시 동구 초량상로 112,051-440-4903,https://jumin.busan.go.kr/dong/choryang3/main/main.jsp,,
30,부산광역시 ,공공,주민자치기관,초량제6동 주민센터,부산광역시 동구 초량로 75,051-440-4905,https://jumin.busan.go.kr/dong/choryang6/main/main.jsp,,
31,부산광역시 ,공공,주민자치기관,수정제1동 주민센터,부산광역시 동구 홍곡로 71,051-440-4906,https://jumin.busan.go.kr/dong/sujeong1/main/main.jsp,,
32,부산광역시 ,공공,주민자치기관,수정제2동 주민센터,부산광역시 동구 수정중로11번길 23,051-440-4907,https://jumin.busan.go.kr/dong/sujeong2/main/main.jsp,,
33,부산광역시 ,공공,주민자치기관,수정제4동 주민센터,부산광역시 동구 망양로685번길 2,051-440-4909,https://jumin.busan.go.kr/dong/sujeong4/main/main.jsp,,
34,부산광역시 ,공공,주민자치기관,수정제5동 주민센터,부산광역시 동구 망양로795번길 2,051-440-4910,https://jumin.busan.go.kr/dong/sujeong5/main/main.jsp,,
35,부산광역시 ,공공,주민자치기관,좌천동 주민센터,부산광역시 동구 좌천남로 19,051-440-4911,https://jumin.busan.go.kr/dong/jwacheon1/main/main.jsp,,
36,부산광역시 ,공공,주민자치기관,범일제1동 주민센터,부산광역시 동구 범상로 12,051-440-6341,https://jumin.busan.go.kr/dong/beomil1/main/main.jsp,,
37,부산광역시 ,공공,주민자치기관,범일제2동 주민센터,부산광역시 동구 범일로 58,051-440-4914,https://jumin.busan.go.kr/dong/beomil2/main/main.jsp,,
38,부산광역시 ,공공,주민자치기관,범일제5동 주민센터,부산광역시 동구 성남로47번길 13,051-440-4916,https://jumin.busan.go.kr/dong/beomil5/main/main.jsp,,
39,부산광역시 ,공공,국가 및 지자체,영도구청,부산광역시 영도구 태종로 423,051-415-1001,http://www.yeongdo.go.kr/,,
40,부산광역시 ,공공,주민자치기관,남항동 주민센터,부산광역시 영도구 남항로9번길 1,051-419-5501,https://jumin.busan.go.kr/dong/namhang/main/main.jsp,,
41,부산광역시 ,공공,주민자치기관,영선제1동 주민센터,부산광역시 영도구 꿈나무길 25,051-419-5521,https://jumin.busan.go.kr/dong/yeongseon1/main/main.jsp,,
42,부산광역시 ,공공,주민자치기관,영선제2동 주민센터,부산광역시 영도구 영선대로 65,051-419-5541,https://jumin.busan.go.kr/dong/yeongseon2/main/main.jsp,,
43,부산광역시 ,공공,주민자치기관,신선동 주민센터,부산광역시 영도구 하나길 317,051-419-5601,https://jumin.busan.go.kr/dong/sinseon/main/main.jsp,,
44,부산광역시 ,공공,주민자치기관,봉래제1동 주민센터,부산광역시 영도구 대교로6번길 5,051-419-5621,https://jumin.busan.go.kr/dong/bongrae1/main/main.jsp,,
