번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,서울특별시 ,공공,국가 및 지자체,서울시청,서울특별시 중구 세종대로 110,02-120,http://www.seoul.go.kr/,,
2,서울특별시 ,공공,국가 및 지자체,종로구청,서울특별시 종로구 삼봉로 43,02-2148-1114,http://www.jongno.go.kr/,0,
3,서울특별시 ,공공,주민자치기관,청운효자동 주민센터,서울특별시 종로구 자하문로 92,02-2148-5003,http://www.jongno.go.kr/dongMain.do?dong=01,,물어보기
4,서울특별시 ,공공,주민자치기관,사직동 주민센터,서울특별시 종로구 사직로9길 1,02-2148-5033,http://www.jongno.go.kr/dongMain.do?dong=02,,
5,서울특별시 ,공공,주민자치기관,삼청동 주민센터,서울특별시 종로구 삼청로 107,02-2148-5063,http://www.jongno.go.kr/dongMain.do?dong=03,,
6,서울특별시 ,공공,주민자치기관,부암동 주민센터,서울특별시 종로구 창의문로 145,02-2148-5095,http://www.jongno.go.kr/dongMain.do?dong=04,,
7,서울특별시 ,공공,주민자치기관,평창동 주민센터,서울특별시 종로구 평창문화로 65,02-2148-5123,http://www.jongno.go.kr/dongMain.do?dong=05,,
8,서울특별시 ,공공,주민자치기관,무악동 주민센터,서울특별시 종로구 통일로14길 36,02-2148-5153,http://www.jongno.go.kr/dongMain.do?dong=06,,
9,서울특별시 ,공공,주민자치기관,교남동 주민센터,서울특별시 종로구 송월길 154,02-2148-5184,http://www.jongno.go.kr/dongMain.do?dong=07,,
10,서울특별시 ,공공,주민자치기관,가회동 주민센터,서울특별시 종로구 북촌로 35,02-2148-5212,http://www.jongno.go.kr/dongMain.do?dong=08,,
11,서울특별시 ,공공,주민자치기관,"종로1, 2, 3, 4가동 주민센터",서울특별시 종로구 삼일대로30길 47,02-2148-5243,http://www.jongno.go.kr/dongMain.do?dong=09,,
12,서울특별시 ,공공,주민자치기관,"종로5, 6가동 주민센터",서울특별시 종로구 종로35가길 19,02-2148-5273,http://www.jongno.go.kr/dongMain.do?dong=10,,
13,서울특별시 ,공공,주민자치기관,이화동 주민센터,서울특별시 종로구 이화장길 33,02-2148-5303,http://www.jongno.go.kr/dongMain.do?dong=11,,
14,서울특별시 ,공공,주민자치기관,혜화동 주민센터,서울특별시 종로구 혜화로 12,02-2148-5333,http://www.jongno.go.kr/dongMain.do?dong=12,,
15,서울특별시 ,공공,주민자치기관,창신1동 주민센터,서울특별시 종로구 지봉로 8-6,02-2148-5393,http://www.jongno.go.kr/dongMain.do?dong=14,,
16,서울특별시 ,공공,주민자치기관,창신2동 주민센터,서울특별시 종로구 창신길 62,02-2148-5423,http://www.jongno.go.kr/dongMain.do?dong=15,,
17,서울특별시 ,공공,주민자치기관,창신3동 주민센터,서울특별시 종로구 지봉로 87,02-2148-5453,http://www.jongno.go.kr/dongMain.do?dong=16,,
18,서울특별시 ,공공,주민자치기관,숭인1동 주민센터,서울특별시 종로구 지봉로 86,02-2148-5483,http://www.jongno.go.kr/dongMain.do?dong=17,,
19,서울특별시 ,공공,주민자치기관,숭인2동 주민센터,서울특별시 종로구 종로65길 10,02-2148-5512,http://www.jongno.go.kr/dongMain.do?dong=18,,
20,서울특별시 ,공공,국가 및 지자체,중구청,서울특별시 중구 창경궁로 17,02-3396-4114,http://www.junggu.seoul.kr/,0,
21,서울특별시 ,공공,주민자치기관,소공동 주민센터,서울특별시 중구 남대문로1길 31-5,02-3396-6500,http://www.junggu.seoul.kr/content.do?cmsid=1056,버림,버림
22,서울특별시 ,공공,주민자치기관,회현동 주민센터,서울특별시 중구 퇴계로8길 46,02-3396-6530,http://www.junggu.seoul.kr/content.do?cmsid=1442,버림,
23,서울특별시 ,공공,주민자치기관,명동 주민센터,서울특별시 중구 퇴계로20길 3,02-3396-6560,http://www.junggu.seoul.kr/content.do?cmsid=1432,버림,
