번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,인천광역시 ,공공,국가 및 지자체,인천시청,인천광역시 남동구 정각로 29,032-120,http://www.incheon.go.kr/,,
2,인천광역시 ,공공,국가 및 지자체,중구청,인천광역시 중구 신포로27번길 80,032-760-7114,http://www.icjg.go.kr/,,인천끝.
3,인천광역시 ,공공,주민자치기관,연안동 주민센터,인천광역시 중구 축항대로86번길 44,032-760-6120,http://www.icjg.go.kr/dong/?dong_code=19,,
4,인천광역시 ,공공,주민자치기관,신포동 주민센터,인천광역시 중구 제물량로 168,032-760-6100,http://www.icjg.go.kr/dong/?dong_code=18,,
5,인천광역시 ,공공,주민자치기관,신흥동 주민센터,인천광역시 중구 제물량로80번길 3-14,032-760-6140,http://www.icjg.go.kr/dong/?dong_code=20,,
6,인천광역시 ,공공,주민자치기관,도원동 주민센터,인천광역시 중구 도원동 69,032-760-6160,http://icjg.go.kr/dong/?dong_code=21,,
7,인천광역시 ,공공,주민자치기관,율목동 주민센터,인천광역시 중구 서해대로48번길 3,032-760-6180,http://www.icjg.go.kr/dong/?dong_code=22,,
8,인천광역시 ,공공,주민자치기관,동인천동 주민센터,인천광역시 중구 참외전로72번길 25,032-760-6200,http://www.icjg.go.kr/dong/?dong_code=23,,
9,인천광역시 ,공공,주민자치기관,북성동 주민센터,인천광역시 중구 차이나타운로44번길 13-2,032-760-6220,http://www.icjg.go.kr/dong/?dong_code=24,,
10,인천광역시 ,공공,주민자치기관,송월동 주민센터,인천광역시 중구 참외전로59번길 60,032-760-6240,http://www.icjg.go.kr/dong/?dong_code=25,,
11,인천광역시 ,공공,주민자치기관,영종동 주민센터,인천광역시 중구 운남동 687,032-760-8880,http://www.icjg.go.kr/dong/?dong_code=26,,
12,인천광역시 ,공공,주민자치기관,운서동 주민센터,인천광역시 중구 흰바위로27번길 10,032-760-6260,http://www.icjg.go.kr/dong/?dong_code=56,,
13,인천광역시 ,공공,주민자치기관,용유동 주민센터,인천광역시 중구 마시란로 308-13,032-760-6280,http://www.icjg.go.kr/dong/?dong_code=27,,
14,인천광역시 ,공공,국가 및 지자체,동구청,인천광역시 동구 금곡로 67,032-770-6114,http://www.icdonggu.go.kr/,,
15,인천광역시 ,공공,주민자치기관,만석동 주민센터,인천광역시 동구 석수로 96,032-770-5760,http://www.icdonggu.go.kr/open_content/dong/?dong=18,,
16,인천광역시 ,공공,주민자치기관,"화수1, 화평동 주민센터",인천광역시 동구 화도로 41,032-770-5780,http://www.icdonggu.go.kr/open_content/dong/?dong=26,,
17,인천광역시 ,공공,주민자치기관,화수2동 주민센터,인천광역시 동구 화수안로 42,032-770-5800,http://www.icdonggu.go.kr/open_content/dong/?dong=27,,
18,인천광역시 ,공공,주민자치기관,"송현1,2동 주민센터",인천광역시 동구 송현동 48-1,032-770-5820,http://www.icdonggu.go.kr/open_content/dong/?dong=24,,
19,인천광역시 ,공공,주민자치기관,송현3동 주민센터,인천광역시 동구 샛골로 230-21,032-770-5840,http://www.icdonggu.go.kr/open_content/dong/?dong=25,,
20,인천광역시 ,공공,주민자치기관,송림1동 주민센터,인천광역시 동구 송림로43번길 42,032-770-5860,http://www.icdonggu.go.kr/open_content/dong/?dong=19,,
21,인천광역시 ,공공,주민자치기관,송림2동 주민센터,인천광역시 동구 안송로6번길 5,032-770-5880,http://www.icdonggu.go.kr/open_content/dong/?dong=20,,
22,인천광역시 ,공공,주민자치기관,"송림3,5동 주민센터",인천광역시 동구 새천년로 72,032-770-5900,http://www.icdonggu.go.kr/open_content/dong/?dong=21,,
23,인천광역시 ,공공,주민자치기관,송림4동 주민센터,인천광역시 동구 육송로10번길 31,032-770-5920,http://www.icdonggu.go.kr/open_content/dong/?dong=22,,
