번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,제주특별자치도  ,공공,국가 및 지자체,제주특별자치도청,제주특별자치도 제주시 문연로 6,064-710-2114,http://www.jeju.go.kr/,,
2,제주특별자치도  ,공공,국가 및 지자체,제주시청,제주특별자치도 제주시 광양9길 10,064-728-2114,http://www.jejusi.go.kr/,,제주끝.
3,제주특별자치도  ,공공,주민자치기관,한림읍 주민센터,제주특별자치도 제주시 한림읍 한림상로 132,064-728-1521,http://www.jejusi.go.kr/contents/index.php?mid=5501/,,
4,제주특별자치도  ,공공,주민자치기관,애월읍 주민센터,제주특별자치도 제주시 애월읍 일주서로 6322,064-728-1522,http://www.jejusi.go.kr/contents/index.php?mid=5601/,,
5,제주특별자치도  ,공공,주민자치기관,구좌읍 주민센터,제주특별자치도 제주시 구좌읍 일주동로 3116,064-728-1523,http://www.jejusi.go.kr/contents/index.php?mid=5701/,,
6,제주특별자치도  ,공공,주민자치기관,조천읍 주민센터,제주특별자치도 제주시 조천읍 신북로 194,064-728-1524,http://www.jejusi.go.kr/contents/index.php?mid=5801,,
7,제주특별자치도  ,공공,주민자치기관,한경면 주민센터,제주특별자치도 제주시 한경면 두신로 84,064-728-1525,http://www.jejusi.go.kr/contents/index.php?mid=5901,,
8,제주특별자치도  ,공공,주민자치기관,추자면 주민센터,제주특별자치도 제주시 추자면 추자로 26,064-728-1526,http://www.jejusi.go.kr/contents/?mid=6001,,
9,제주특별자치도  ,공공,주민자치기관,우도면 주민센터,제주특별자치도 제주시 우도로 153,064-728-1527,http://www.jejusi.go.kr/contents/index.php?mid=61,,
10,제주특별자치도  ,공공,주민자치기관,일도1동 주민센터,제주특별자치도 제주시 중앙로7길 15,064-728-1528,http://www.jejusi.go.kr/contents/index.php?mid=36,,
11,제주특별자치도  ,공공,주민자치기관,일도2동 주민센터,제주특별자치도 제주시 고마로 28,064-728-1529,http://www.jejusi.go.kr/contents/index.php?mid=37,,
12,제주특별자치도  ,공공,주민자치기관,이도1동 주민센터,제주특별자치도 제주시 중앙로25길 17,064-728-1530,http://www.jejusi.go.kr/contents/index.php?mid=38,,
13,제주특별자치도  ,공공,주민자치기관,이도2동 주민센터,제주특별자치도 제주시 오복3길 8,064-728-1531,http://www.jejusi.go.kr/contents/index.php?mid=39,,
14,제주특별자치도  ,공공,주민자치기관,삼도1동 주민센터, 제주특별자치도 제주시 서사로 14길 16,064-728-1532,http://www.jejusi.go.kr/contents/index.php?mid=40,,
15,제주특별자치도  ,공공,주민자치기관,삼도2동 주민센터,제주특별자치도 제주시 관덕로6길 15,064-728-1533,http://www.jejusi.go.kr/contents/index.php?mid=41,,
16,제주특별자치도  ,공공,주민자치기관,용담1동 주민센터,제주특별자치도 제주시 용남3길 11,064-728-1534,http://www.jejusi.go.kr/contents/index.php?mid=42,,
17,제주특별자치도  ,공공,주민자치기관,용담2동 주민센터,제주특별자치도 제주시 흥운길 27,064-728-1535,http://www.jejusi.go.kr/contents/index.php?mid=43,,
18,제주특별자치도  ,공공,주민자치기관,건입동 주민센터,제주특별자치도 제주시 만덕로 18,064-728-1536,http://www.jejusi.go.kr/contents/index.php?mid=44,,
19,제주특별자치도  ,공공,주민자치기관,화북동 주민센터,제주특별자치도 제주시 진남로 6길 17,064-728-1537,http://www.jejusi.go.kr/contents/index.php?mid=45,,
20,제주특별자치도  ,공공,주민자치기관,삼양동 주민센터,제주특별자치도 제주시 지석13길6,064-728-1538,http://www.jejusi.go.kr/contents/index.php?mid=46,,
21,제주특별자치도  ,공공,주민자치기관,봉개동 주민센터,제주특별자치도 제주시 봉개북1길 15,064-728-1539,http://www.jejusi.go.kr/contents/index.php?mid=47,,
22,제주특별자치도  ,공공,주민자치기관,아라동 주민센터,제주특별자치도 제주시 인다8길 5,064-728-1540,http://www.jejusi.go.kr/contents/index.php?mid=48,,
23,제주특별자치도  ,공공,주민자치기관,오라동 주민센터,제주특별자치도 제주시 오라로10길 6,064-728-1541,http://www.jejusi.go.kr/contents/index.php?mid=49,,
24,제주특별자치도  ,공공,주민자치기관,연동 주민센터,제주특별자치도 제주시 신대로101,064-728-1542,http://www.jejusi.go.kr/contents/index.php?mid=50,,
25,제주특별자치도  ,공공,주민자치기관,노형동 주민센터,제주특별자치도 제주시 노형9길 9-4,064-728-1543,http://www.jejusi.go.kr/contents/index.php?mid=51,,
26,제주특별자치도  ,공공,주민자치기관,외도동 주민센터,제주특별자치도 제주시 일주서로 7350,064-728-1544,http://www.jejusi.go.kr/contents/index.php?mid=52,,
27,제주특별자치도  ,공공,주민자치기관,이호동 주민센터,제주특별자치도 제주시 백포서길 9,064-728-1545,http://www.jejusi.go.kr/contents/index.php?mid=53,,
28,제주특별자치도  ,공공,주민자치기관,도두동 주민센터,제주특별자치도 제주시 도두1길 9-1,064-728-1546,http://www.jejusi.go.kr/contents/index.php?mid=54,,
29,제주특별자치도  ,공공,국가 및 지자체,서귀포시청,제주특별자치도 서귀포시 중앙로 105,064-120,http://www.seogwipo.go.kr/,,
30,제주특별자치도  ,공공,주민자치기관,남원읍 주민센터,제주특별자치도 서귀포시 남원읍 태위로 695,064-760-4112,http://www.seogwipo.go.kr/contents/index.php?mcidx=93,,
31,제주특별자치도  ,공공,주민자치기관,대정읍 주민센터,제주특별자치도 서귀포시 대정읍 하모중앙로 20,064-760-4012,http://www.seogwipo.go.kr/contents/index.php?mcidx=92,,
32,제주특별자치도  ,공공,주민자치기관,성산읍 주민센터,제주특별자치도 서귀포시 성산읍 일주동로 4330,064-760-4212,http://www.seogwipo.go.kr/contents/index.php?mcidx=94,,
33,제주특별자치도  ,공공,주민자치기관,안덕면 주민센터,제주특별자치도 서귀포시 안덕면 화순서서로 74,064-760-4311,http://www.seogwipo.go.kr/contents/index.php?mcidx=95,,
34,제주특별자치도  ,공공,주민자치기관,표선면 주민센터,제주특별자치도 서귀포시 표선면 표선중앙로 74,064-760-4411,http://www.seogwipo.go.kr/contents/index.php?mcidx=96,,
35,제주특별자치도  ,공공,주민자치기관,대륜동 주민센터,제주특별자치도 서귀포시 일주동로 9185,064-760-4751,http://www.seogwipo.go.kr/contents/index.php?mcidx=88,,
36,제주특별자치도  ,공공,주민자치기관,대천동 주민센터,제주특별자치도 서귀포시 도순로 44,064-760-4781,http://www.seogwipo.go.kr/contents/index.php?mcidx=89,,
37,제주특별자치도  ,공공,주민자치기관,동홍동 주민센터,제주특별자치도 서귀포시 동홍로 104,064-760-4681,http://www.seogwipo.go.kr/contents/index.php?mcidx=86,,
38,제주특별자치도  ,공공,주민자치기관,서홍동 주민센터,제주특별자치도 서귀포시 중앙로 125,064-760-4721,http://www.seogwipo.go.kr/contents/index.php?mcidx=87,,
39,제주특별자치도  ,공공,주민자치기관,송산동 주민센터,제주특별자치도 서귀포시 소암로 4,064-760-4501,http://www.seogwipo.go.kr/contents/index.php?mcidx=80,,
40,제주특별자치도  ,공공,주민자치기관,영천동 주민센터,제주특별자치도 서귀포시 토평로 15,064-760-4651,http://www.seogwipo.go.kr/contents/index.php?mcidx=85,,
41,제주특별자치도  ,공공,주민자치기관,예래동 주민센터,제주특별자치도 서귀포시 예래로 82,064-738-1542,http://www.seogwipo.go.kr/contents/index.php?mcidx=91,,
42,제주특별자치도  ,공공,주민자치기관,정방동 주민센터,제주특별자치도 서귀포시 태평로421번길 7,064-760-4531,http://www.seogwipo.go.kr/contents/index.php?mcidx=81,,
43,제주특별자치도  ,공공,주민자치기관,중문동 주민센터,제주특별자치도 서귀포시 천제연로 281,064-760-4811,http://www.seogwipo.go.kr/contents/index.php?mcidx=90,,
44,제주특별자치도  ,공공,주민자치기관,중앙동 주민센터,제주특별자치도 서귀포시 동문동로 27,064-760-4561,http://www.seogwipo.go.kr/contents/index.php?mcidx=82,,
45,제주특별자치도  ,공공,주민자치기관,천지동 주민센터,제주특별자치도 서귀포시 중정로47번길3,064-760-4591,http://www.seogwipo.go.kr/contents/index.php?mcidx=83,,
46,제주특별자치도  ,공공,주민자치기관,효돈동 주민센터,제주특별자치도 서귀포시 효돈로152번길 7,064-760-4625,http://www.seogwipo.go.kr/contents/index.php?mcidx=84,,
47,제주특별자치도  ,공공,국가 및 지자체,제주평생교육진흥원,제주특별자치도 제주시 연삼로 473,064-744-9852,http://jile.or.kr/,,
48,제주특별자치도  ,,,,,,,,
49,제주특별자치도  ,,,,,,,,
50,제주특별자치도  ,,,,,,,,
51,제주특별자치도  ,,,,,,,,
52,제주특별자치도  ,,,,,,,,
53,제주특별자치도  ,,,,,,,,
54,제주특별자치도  ,,,,,,,,
55,제주특별자치도  ,,,,,,,,
56,제주특별자치도  ,,,,,,,,
57,제주특별자치도  ,,,,,,,,
58,제주특별자치도  ,,,,,,,,
59,제주특별자치도  ,,,,,,,,
60,제주특별자치도  ,,,,,,,,
61,제주특별자치도  ,,,,,,,,
62,제주특별자치도  ,,,,,,,,
63,제주특별자치도  ,,,,,,,,
64,제주특별자치도  ,,,,,,,,
65,제주특별자치도  ,,,,,,,,
66,제주특별자치도  ,,,,,,,,
67,제주특별자치도  ,,,,,,,,
68,제주특별자치도  ,,,,,,,,
69,제주특별자치도  ,,,,,,,,
70,제주특별자치도  ,,,,,,,,
71,제주특별자치도  ,,,,,,,,
72,제주특별자치도  ,,,,,,,,
73,제주특별자치도  ,,,,,,,,
74,제주특별자치도  ,,,,,,,,
75,제주특별자치도  ,,,,,,,,
76,제주특별자치도  ,,,,,,,,
77,제주특별자치도  ,,,,,,,,
78,제주특별자치도  ,,,,,,,,
79,제주특별자치도  ,,,,,,,,
80,제주특별자치도  ,,,,,,,,
81,제주특별자치도  ,,,,,,,,
82,제주특별자치도  ,,,,,,,,
83,제주특별자치도  ,,,,,,,,
84,제주특별자치도  ,,,,,,,,
85,제주특별자치도  ,,,,,,,,
86,제주특별자치도  ,,,,,,,,
87,제주특별자치도  ,,,,,,,,
88,제주특별자치도  ,,,,,,,,
89,제주특별자치도  ,,,,,,,,
90,제주특별자치도  ,,,,,,,,
91,제주특별자치도  ,,,,,,,,
92,제주특별자치도  ,,,,,,,,
93,제주특별자치도  ,,,,,,,,
94,제주특별자치도  ,,,,,,,,
95,제주특별자치도  ,,,,,,,,
96,제주특별자치도  ,,,,,,,,
97,제주특별자치도  ,,,,,,,,
98,제주특별자치도  ,,,,,,,,
99,제주특별자치도  ,,,,,,,,
100,제주특별자치도  ,,,,,,,,
101,제주특별자치도  ,,,,,,,,
102,제주특별자치도  ,,,,,,,,
103,제주특별자치도  ,,,,,,,,
104,제주특별자치도  ,,,,,,,,
105,제주특별자치도  ,,,,,,,,
106,제주특별자치도  ,,,,,,,,
107,제주특별자치도  ,,,,,,,,
108,제주특별자치도  ,,,,,,,,
109,제주특별자치도  ,,,,,,,,
110,제주특별자치도  ,,,,,,,,
111,제주특별자치도  ,,,,,,,,
112,제주특별자치도  ,,,,,,,,
113,제주특별자치도  ,,,,,,,,
114,제주특별자치도  ,,,,,,,,
115,제주특별자치도  ,,,,,,,,
116,제주특별자치도  ,,,,,,,,
117,제주특별자치도  ,,,,,,,,
118,제주특별자치도  ,,,,,,,,
119,제주특별자치도  ,,,,,,,,
120,제주특별자치도  ,,,,,,,,
121,제주특별자치도  ,,,,,,,,
122,제주특별자치도  ,,,,,,,,
123,제주특별자치도  ,,,,,,,,
124,제주특별자치도  ,,,,,,,,
125,제주특별자치도  ,,,,,,,,
126,제주특별자치도  ,,,,,,,,
127,제주특별자치도  ,,,,,,,,
128,제주특별자치도  ,,,,,,,,
129,제주특별자치도  ,,,,,,,,
130,제주특별자치도  ,,,,,,,,
131,제주특별자치도  ,,,,,,,,
132,제주특별자치도  ,,,,,,,,
133,제주특별자치도  ,,,,,,,,
134,제주특별자치도  ,,,,,,,,
135,제주특별자치도  ,,,,,,,,
136,제주특별자치도  ,,,,,,,,
137,제주특별자치도  ,,,,,,,,
138,제주특별자치도  ,,,,,,,,
139,제주특별자치도  ,,,,,,,,
140,제주특별자치도  ,,,,,,,,
141,제주특별자치도  ,,,,,,,,
142,제주특별자치도  ,,,,,,,,
143,제주특별자치도  ,,,,,,,,
144,제주특별자치도  ,,,,,,,,
145,제주특별자치도  ,,,,,,,,
146,제주특별자치도  ,,,,,,,,
147,제주특별자치도  ,,,,,,,,
148,제주특별자치도  ,,,,,,,,
149,제주특별자치도  ,,,,,,,,
150,제주특별자치도  ,,,,,,,,
151,제주특별자치도  ,,,,,,,,
152,제주특별자치도  ,,,,,,,,
153,제주특별자치도  ,,,,,,,,
154,제주특별자치도  ,,,,,,,,
155,제주특별자치도  ,,,,,,,,
156,제주특별자치도  ,,,,,,,,
157,제주특별자치도  ,,,,,,,,
158,제주특별자치도  ,,,,,,,,
159,제주특별자치도  ,,,,,,,,
160,제주특별자치도  ,,,,,,,,
161,제주특별자치도  ,,,,,,,,
162,제주특별자치도  ,,,,,,,,
163,제주특별자치도  ,,,,,,,,
164,제주특별자치도  ,,,,,,,,
165,제주특별자치도  ,,,,,,,,
166,제주특별자치도  ,,,,,,,,
167,제주특별자치도  ,,,,,,,,
168,제주특별자치도  ,,,,,,,,
169,제주특별자치도  ,,,,,,,,
170,제주특별자치도  ,,,,,,,,
171,제주특별자치도  ,,,,,,,,
172,제주특별자치도  ,,,,,,,,
173,제주특별자치도  ,,,,,,,,
174,제주특별자치도  ,,,,,,,,
175,제주특별자치도  ,,,,,,,,
176,제주특별자치도  ,,,,,,,,
177,제주특별자치도  ,,,,,,,,
178,제주특별자치도  ,,,,,,,,
179,제주특별자치도  ,,,,,,,,
180,제주특별자치도  ,,,,,,,,
181,제주특별자치도  ,,,,,,,,
182,제주특별자치도  ,,,,,,,,
183,제주특별자치도  ,,,,,,,,
184,제주특별자치도  ,,,,,,,,
185,제주특별자치도  ,,,,,,,,
186,제주특별자치도  ,,,,,,,,
187,제주특별자치도  ,,,,,,,,
188,제주특별자치도  ,,,,,,,,
189,제주특별자치도  ,,,,,,,,
190,제주특별자치도  ,,,,,,,,
191,제주특별자치도  ,,,,,,,,
192,제주특별자치도  ,,,,,,,,
193,제주특별자치도  ,,,,,,,,
194,제주특별자치도  ,,,,,,,,
195,제주특별자치도  ,,,,,,,,
196,제주특별자치도  ,,,,,,,,
197,제주특별자치도  ,,,,,,,,
198,제주특별자치도  ,,,,,,,,
199,제주특별자치도  ,,,,,,,,
200,제주특별자치도  ,,,,,,,,
201,제주특별자치도  ,,,,,,,,
202,제주특별자치도  ,,,,,,,,
203,제주특별자치도  ,,,,,,,,
204,제주특별자치도  ,,,,,,,,
205,제주특별자치도  ,,,,,,,,
