번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,광주광역시 ,공공,국가 및 지자체,광주시청,광주광역시 서구 내방로 111,062-120,http://www.gwangju.go.kr/,,
2,광주광역시 ,공공,국가 및 지자체,동구청,광주광역시 동구 서남로 1,062-608-2114,http://www.donggu.kr/,,광주끝.
3,광주광역시 ,공공,주민자치기관,충장동 주민센터,광주광역시 동구 충장로58번길 16,062-608-3500,http://www.donggu.kr/menu.es?mid=a10605010100,,
4,광주광역시 ,공공,주민자치기관,동명동 주민센터,광주광역시 동구 동명로26번길 13,062-608-3530,http://www.donggu.kr/menu.es?mid=a10606010100,,
5,광주광역시 ,공공,주민자치기관,계림1동 주민센터,광주광역시 동구 경양로247번길 26,062-608-3560,http://www.donggu.kr/menu.es?mid=a10607010100,,
6,광주광역시 ,공공,주민자치기관,계림2동 주민센터,광주광역시 동구 중앙로272번길 37,062-608-3590,http://www.donggu.kr/menu.es?mid=a10608010100,,
7,광주광역시 ,공공,주민자치기관,산수1동 주민센터,광주광역시 동구 무등로449번길 12,062-608-3620,http://www.donggu.kr/menu.es?mid=a10609010100,,
8,광주광역시 ,공공,주민자치기관,산수2동 주민센터,광주광역시 동구 필문대로191번길 43-24,062-608-3650,http://www.donggu.kr/menu.es?mid=a10610010100,,
9,광주광역시 ,공공,주민자치기관,지산1동 주민센터,광주광역시 동구 지산로 57,062-608-3680,http://www.donggu.kr/menu.es?mid=a10611010100,,
10,광주광역시 ,공공,주민자치기관,지산2동 주민센터,광주광역시 동구 지호로 51,062-608-3710,http://www.donggu.kr/menu.es?mid=a10612010100,,
11,광주광역시 ,공공,주민자치기관,서남동 주민센터,광주광역시 동구 서남로 14,062-608-3740,http://www.donggu.kr/menu.es?mid=a10613010100,,
12,광주광역시 ,공공,주민자치기관,학동 주민센터,광주광역시 동구 천변우로 559-7,062-608-3770,http://www.donggu.kr/menu.es?mid=a10614010100,,
13,광주광역시 ,공공,주민자치기관,학운동 주민센터,광주광역시 동구 의재로 53,062-608-3800,http://www.donggu.kr/menu.es?mid=a10615010100,,
14,광주광역시 ,공공,주민자치기관,지원1동 주민센터,광주광역시 동구 소태동 656-4,062-608-3830,http://www.donggu.kr/menu.es?mid=a10616010100,,
15,광주광역시 ,공공,주민자치기관,지원2동 주민센터,광주광역시 동구 화산로 361,062-608-3860,http://www.donggu.kr/menu.es?mid=a10617010100,,
16,광주광역시 ,공공,국가 및 지자체,서구청,광주광역시 서구 경열로 33,062-365-4114,http://seogu.gwangju.kr/,,
17,광주광역시 ,공공,주민자치기관,양동 주민센터,광주광역시 서구 천변좌로222번길 3-2,062-350-4203,http://www.seogu.gwangju.kr/yangdong,,
18,광주광역시 ,공공,주민자치기관,양3동 주민센터,광주광역시 서구 상무대로1223번길 16,062-350-4222,http://www.seogu.gwangju.kr/yang3dong,,
19,광주광역시 ,공공,주민자치기관,농성1동 주민센터,광주광역시 서구 상무대로1189번길 23,062-350-4242,http://www.seogu.gwangju.kr/nongseong1dong/,,
