번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
1,경기도 ,공공,국가 및 지자체,경기도청,경기도 수원시 팔달구 효원로 1,031-120,http://www.gg.go.kr/,자료없음,
2,경기도 ,공공,국가 및 지자체,수원시청,경기도 수원시 팔달구 효원로 241,1899-3300,http://www.suwon.go.kr/,0,
3,경기도 ,공공,국가 및 지자체,장안구청,경기도 수원시 장안구 송원로 101,1899-3300,http://jangan.suwon.go.kr/,0,
4,경기도 ,공공,주민자치기관,파장동 주민센터,경기도 수원시 장안구 파장천로 60,031-228-5604,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1105#scroll_stop,0,
5,경기도 ,공공,주민자치기관,율전동 주민센터,경기도 수원시 장안구 서부로2106번길 27,031-228-5605,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1205#scroll_stop,0,
6,경기도 ,공공,주민자치기관,정자1동 주민센터,경기도 수원시 장안구 정자로130번길 20,031-228-5626,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1305#scroll_stop,0,
7,경기도 ,공공,주민자치기관,정자2동 주민센터,경기도 수원시 장안구 송정로24번길 34,031-228-5707,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1405#scroll_stop,0,
8,경기도 ,공공,주민자치기관,정자4동 주민센터,경기도 수원시 장안구 대평로 85,031-228-5712,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1505#scroll_stop,0,
9,경기도 ,공공,주민자치기관,영화동 주민센터,경기도 수원시 장안구 수성로382번길 24,031-228-5440,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1605#scroll_stop,0,
10,경기도 ,공공,주민자치기관,송죽동 주민센터,경기도 수원시 장안구 송원로41번길 16-21,031-228-5609,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1705#scroll_stop,0,
11,경기도 ,공공,주민자치기관,조원1동 주민센터,경기도 수원시 장안구 금당로 56,031-228-5610,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1805#scroll_stop,0,
12,경기도 ,공공,주민자치기관,조원2동 주민센터,경기도 수원시 장안구 송원로 109-50,031-228-5782,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub1905#scroll_stop,0,
13,경기도 ,공공,주민자치기관,연무동 주민센터,경기도 수원시 장안구 경수대로 757,031-228-5611,http://jangan.suwon.go.kr/sub_view.asp?menu_id=sub2005#scroll_stop,0,
14,경기도 ,공공,국가 및 지자체,권선구청,경기도 수원시 권선구 호매실로 12,1899-3300,http://ksun.suwon.go.kr/,자료없음,
15,경기도 ,공공,주민자치기관,세류1동 주민센터,경기도 수원시 권선구 세류로38번길 10,031-228-6602,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_seryu1&skin_div=no&dong=%EC%84%B8%EB%A5%981%EB%8F%99,0,
16,경기도 ,공공,주민자치기관,세류2동 주민센터,경기도 수원시 권선구 덕영대로 1107,031-228-6663,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_seryu2&skin_div=no&dong=%EC%84%B8%EB%A5%982%EB%8F%99,0,
17,경기도 ,공공,주민자치기관,세류3동 주민센터,경기도 수원시 권선구 정조로 557,031-228-6644,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_seryu3&skin_div=no&dong=%EC%84%B8%EB%A5%983%EB%8F%99,0,
18,경기도 ,공공,주민자치기관,평동 주민센터,경기도 수원시 권선구 평동로76번길 13,031-228-6625,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_pyeong&skin_div=no,0,
19,경기도 ,공공,주민자치기관,서둔동 주민센터,경기도 수원시 권선구 서호로 146,031-228-6846,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_seodun,0,
20,경기도 ,공공,주민자치기관,구운동 주민센터,경기도 수원시 권선구 구운로47번길 57-33,031-228-6887,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_guun,0,
21,경기도 ,공공,주민자치기관,금곡동 주민센터,경기도 수원시 권선구 금곡로196번길 20,031-228-6648,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_geumgok,0,
22,경기도 ,공공,주민자치기관,호매실동 주민센터,경기도 수원시 권선구 칠보로 161,031-228-6853,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_gumho,0,
23,경기도 ,공공,주민자치기관,권선1동 주민센터,경기도 수원시 권선구 경수대로352번길 29,031-228-6610,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_gwonseon1,0,
24,경기도 ,공공,주민자치기관,권선2동 주민센터,경기도 수원시 권선구 권중로 77,031-228-6654,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_gwonseon2,0,
25,경기도 ,공공,주민자치기관,곡선동 주민센터,경기도 수원시 권선구 동수원로146번길 174,031-228-6651,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_gokseon,0,
26,경기도 ,공공,주민자치기관,입북동 주민센터,경기도 수원시 권선구 입북로 17,031-228-6672,http://ksun.suwon.go.kr/bbsplus/list.asp?mnuflag=&code=tbl_bbs_dong_ipbuk,0,
